,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,final_grade
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5.666666666666667
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5.333333333333333
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,8.333333333333334
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,14.666666666666666
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,8.666666666666666
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15.0
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11.666666666666666
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,5.666666666666667
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,17.666666666666668
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14.666666666666666
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9.0
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,11.333333333333334
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14.0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10.333333333333334
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,15.333333333333334
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14.0
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13.666666666666666
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,9.333333333333334
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,5.333333333333333
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,9.333333333333334
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,14.0
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,14.0
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15.333333333333334
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,12.666666666666666
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,9.0
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,7.666666666666667
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,11.666666666666666
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15.333333333333334
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11.0
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,11.0
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10.666666666666666
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,16.666666666666668
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,16.333333333333332
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,10.0
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,13.666666666666666
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,7.0
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,16.333333333333332
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15.333333333333334
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,11.666666666666666
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,13.333333333333334
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,9.333333333333334
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12.0
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,18.333333333333332
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9.0
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,9.666666666666666
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,7.333333333333333
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11.333333333333334
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19.333333333333332
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,14.666666666666666
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7.0
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12.666666666666666
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,12.333333333333334
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,10.666666666666666
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,9.666666666666666
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,12.0
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,9.0
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14.666666666666666
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14.666666666666666
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9.333333333333334
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15.666666666666666
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10.666666666666666
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,9.666666666666666
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,9.0
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,9.333333333333334
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10.0
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15.333333333333334
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,12.666666666666666
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,6.666666666666667
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8.333333333333334
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16.0
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,14.333333333333334
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10.0
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,6.333333333333333
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12.666666666666666
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11.333333333333334
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9.333333333333334
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,10.666666666666666
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11.0
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8.666666666666666
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5.0
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,11.333333333333334
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,10.666666666666666
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,6.333333333333333
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15.0
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9.666666666666666
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,8.0
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,7.0
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13.666666666666666
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,10.333333333333334
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,7.0
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7.333333333333333
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,17.0
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,6.333333333333333
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,10.333333333333334
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,12.666666666666666
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,9.0
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,13.666666666666666
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,9.0
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,13.0
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,8.0
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,6.333333333333333
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16.666666666666668
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,12.333333333333334
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,6.333333333333333
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,17.333333333333332
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10.666666666666666
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7.666666666666667
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,17.333333333333332
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,12.0
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,15.0
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18.666666666666668
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,9.0
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,12.0
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18.666666666666668
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9.0
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15.333333333333334
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,12.666666666666666
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13.333333333333334
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,8.0
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,13.333333333333334
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,15.333333333333334
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,15.0
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13.0
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,12.666666666666666
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,7.666666666666667
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,12.666666666666666
126,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,9.333333333333334
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,8.0
128,GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,3.6666666666666665
129,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18.0
